id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1744871,Oceanfront condo in Fort Lauderdale,9184480,Tina + Hans,,Lauderdale By The Sea,26.21254,-80.09187,Entire home/apt,95,7,60,8/28/2021,0.64,1,170,9,
1750221,3BDR-2BA Home in quiet neighborhood,9207908,Lee,,North Lauderdale,26.21703,-80.22507,Private room,45,1,2,5/23/2021,0.1,1,364,1,
1751870,Joyous Mermaid House-Power Cleaned,113524,Elle And Paul,,Hollywood,26.0204,-80.15441,Entire home/apt,100,28,33,8/18/2021,1.17,2,201,3,
1773712,Tropical Pool Home and Pavilion,9315425,Mark,,Plantation,26.10882,-80.21644,Entire home/apt,298,3,105,8/8/2021,1.65,1,211,13,
1796704,NEW 2 BED APARTMENT  SAWGRASS MALL,6204254,Carlos,,Plantation,26.12808,-80.3167,Entire home/apt,125,21,31,10/7/2017,0.33,3,285,0,
1819422,Villa-Coral-Ridge-Fort Lauderdale,9526715,Jean Yves,,Fort Lauderdale,26.20035,-80.12661,Entire home/apt,307,2,22,5/17/2021,0.66,1,185,1,
1858886,4BR Waterfront Home w/pool - Tropic Tiki Villa!,9443719,Ida Annika,,Pompano Beach,26.21185,-80.10533,Entire home/apt,820,2,16,8/9/2021,0.19,9,358,3,
1865860,Comfy Studio in Quiet Neighborhood,2692728,Vera,,Oakland Park,26.17391,-80.1509,Entire home/apt,90,3,454,9/6/2021,5,3,90,33,
1871833,"Beautiful, Two Story Home",9754289,Patrick,,Deerfield Beach,26.28459,-80.14557,Private room,79,5,31,7/1/2016,0.38,1,211,0,
1876292,3 bdrm 2 bath pool home near beach,9774075,Joe,,Deerfield Beach,26.30344,-80.08797,Entire home/apt,500,2,11,4/10/2021,0.12,1,197,4,
1901619,Waterfront home / pool near Miami,9873790,Suncove Villa,,Pompano Beach,26.218,-80.10078,Entire home/apt,249,7,39,8/31/2021,0.48,1,70,12,
1909627,W Residences 2 BR Apartment Ft. Lauderdale Beach!,1118365,Allen,,Fort Lauderdale,26.12802,-80.1039,Entire home/apt,404,2,37,6/13/2021,8.6,1,358,4,
1911406,The Cracker Shack Tiny House Fort Lauderdale,171749,Rob,,Fort Lauderdale,26.13293,-80.13682,Entire home/apt,167,30,18,10/2/2020,0.19,1,364,1,
1963560,Casitas Coral Ridge,6411242,Gary,,Fort Lauderdale,26.16862,-80.11358,Private room,164,3,7,4/22/2018,0.09,23,0,0,
1965226,5 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02607,-80.11466,Entire home/apt,115,3,90,8/16/2021,1.15,4,271,18,
1970524,"3 BED.2 BATH , PRIVATE POOL+PRIVACY",10175122,Francois,,Hollywood,26.03117,-80.21664,Entire home/apt,219,4,43,9/5/2021,0.46,1,150,14,
1989116,2 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02587,-80.11573,Entire home/apt,115,3,70,9/6/2021,0.76,4,333,26,
2007538,Ft. Lauderdale Cottage 1bdrm 1bath,3246027,Chris,,Fort Lauderdale,26.14176,-80.13035,Entire home/apt,85,2,366,9/26/2021,4.05,3,344,36,
2011721,3 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.0259,-80.11646,Entire home/apt,95,3,109,9/18/2021,1.25,4,285,26,
2022083,BIMINI – Very Confy & Spacious,10384873,Giuliana & Eric,,Fort Lauderdale,26.09971,-80.15277,Private room,65,30,13,3/3/2019,0.15,5,270,0,
2022117,Furnished Room # 3 share bathroom,10392690,Pochita,,Pembroke Pines,26.02633,-80.23914,Private room,53,3,37,8/10/2021,0.47,3,324,8,
2023131,CAICOS - Best location!! Everything included,10384873,Giuliana & Eric,,Fort Lauderdale,26.09855,-80.15301,Private room,40,30,16,8/4/2018,0.23,5,270,0,
2023138,BARBADOS – w/Private Entrance & Bathroom,10384873,Giuliana & Eric,,Fort Lauderdale,26.09871,-80.15148,Private room,70,30,15,4/15/2018,0.16,5,289,0,
2026631,WELCOME..................HOME,2453109,Sarah,,Hollywood,26.02998,-80.14141,Entire home/apt,192,3,84,8/14/2021,0.9,1,318,21,
2028061,"Modern, quaint, fully renovated",10416582,Shelly,,Tamarac,26.2276,-80.26648,Private room,45,1,16,9/12/2021,6.23,1,76,6,
2030753,Sophi Studio - Deluxe Private Apartment,8815506,Joshua,,Wilton Manors,26.16079,-80.11885,Entire home/apt,117,7,42,9/1/2021,0.46,1,275,7,
2034472,ANTIGUA - Nice & Quiet!!,10384873,Giuliana & Eric,,Fort Lauderdale,26.09889,-80.15126,Private room,60,30,27,8/8/2021,0.42,5,294,6,
2043616,Best of Hallandle Beach Vacation,10479761,Barry,,Hallandale Beach,25.9775,-80.12035,Entire home/apt,77,60,3,3/1/2015,0.04,1,206,0,
2052263,modern interior - close to beach- quiet area,3209220,Luxus Feriendomizile,,Fort Lauderdale,26.19932,-80.11357,Entire home/apt,150,30,51,8/31/2021,0.55,1,125,6,
2057228,Lovely Room in Weston Florida.2 person’s Only room,10534063,Liliana,,Weston,26.11288,-80.36807,Private room,61,1,48,12/23/2020,0.72,1,355,2,
2065724,Luxury Bedroom with Private Bath,791089,Conrad,,Plantation,26.11183,-80.26637,Private room,120,7,2,3/26/2018,0.05,4,364,0,
2071609,APARTMENT 2 BEDROOM  IN FORT LAUDERDALE,10591425,Joana,,Fort Lauderdale,26.17837,-80.09627,Private room,180,4,53,9/19/2021,0.95,2,329,16,
2108829,STUDIO ON THE BEACH OF FORT LAUDERDALE,10591425,Joana,,Fort Lauderdale,26.18015,-80.09637,Private room,120,4,57,8/15/2021,0.68,2,298,11,
2116588,Downtown Fort Lauderdale and Beaches,10791649,Lena,,Fort Lauderdale,26.09111,-80.1884,Entire home/apt,190,4,109,9/21/2021,1.65,4,278,47,
2137234,The Red Cottage,10907013,Samantha,,Fort Lauderdale,26.11271,-80.16019,Private room,150,1,0,,,1,118,0,
2150323,"Private room/Plantation, Florida -K",1748183,Wendy,,Plantation,26.1332,-80.23615,Private room,50,2,71,8/15/2021,0.76,3,166,12,
2177017,Pompano Beach House with Pool & Spa,6272954,Erica,,Margate,26.25055,-80.22174,Entire home/apt,315,7,70,7/24/2021,1.1,2,252,12,
2195826,Room available in W. Pembroke Pines,11065578,O. Josephine,,Pembroke Pines,25.99378,-80.35631,Private room,26,14,22,3/17/2021,0.44,1,100,3,
2209568,Oceanfront Building: On the Beach! Enjoy it!,11270841,Pablo,,Hollywood,25.9873,-80.11862,Entire home/apt,159,2,37,9/21/2021,0.45,1,89,19,
2210837,Private Suite @ Resort Like Home,11210319,Anchalee,,Parkland,26.31309,-80.22417,Private room,89,3,64,9/26/2021,0.78,1,223,10,
2254312,The  Little Inn with a Big ❤️,11512158,Sea Spray Inn,,Lauderdale By The Sea,26.18779,-80.09628,Entire home/apt,115,2,125,9/18/2021,2.47,4,104,62,
2254548,FABULOUS 1450 SQ.FT. CONDO WITH LAKEVIEW,11513176,Deborah,,Lauderhill,26.16538,-80.23533,Entire home/apt,128,1,16,1/26/2019,0.19,1,89,0,
2262485,Peaceful Studio  with Full Kitchen,11553282,Lorraine & Greg,,Pompano Beach,26.21094,-80.11977,Entire home/apt,59,1,466,9/18/2021,5.58,5,300,50,
2274922,Amazing Beach View Studio on Florida's Best Beach,11584719,Osean11,,Hollywood,26.01166,-80.11576,Entire home/apt,76,2,35,8/1/2021,3.95,1,341,35,
2286016,Private Studio #2 patio/garden UV Light Sanatized,11679207,Jorge,,Hollywood,26.01656,-80.16073,Entire home/apt,50,30,5,1/31/2019,0.06,4,211,0,
2302493,TURKS - Cozy !! Neat and simple,10384873,Giuliana & Eric,,Fort Lauderdale,26.09834,-80.15305,Private room,36,30,33,7/31/2021,0.38,5,211,3,
2311108,Health & Wellness Retreat 5' from Hollywood Beach,11797569,Alejandro,,Hollywood,26.00034,-80.13695,Private room,105,1,16,8/2/2021,0.81,1,180,5,
2323501,Beautiful apart over the beach with sea view TIDES,11867654,Marisa,,Hollywood,25.98913,-80.1173,Entire home/apt,124,4,42,9/10/2021,0.55,5,123,5,
2362039,Furnished Room #2 share bathroom,10392690,Pochita,,Pembroke Pines,26.02662,-80.23809,Private room,53,3,10,3/17/2016,0.11,3,330,0,
2379359,Block fm Bch 1/1- great rate long term- by Hilton,12154543,Shiela,,Fort Lauderdale,26.13854,-80.10828,Entire home/apt,146,15,91,6/20/2021,1.27,2,289,4,
2409193,Ocean View 2 BR/2 BA,12314273,P,,Hollywood,25.994,-80.11688,Entire home/apt,125,28,0,,,1,269,0,
2410896,Piso 7W -  Delightful Bay View on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,193,4,28,8/4/2021,0.35,7,319,3,
2452611,"Resort Villa W, Ocean/IntraCoastal, why not BOTH?",12540540,Tom,,Hillsboro Beach,26.30278,-80.07947,Entire home/apt,146,4,20,8/8/2021,0.42,5,252,2,
2496310,BEACH CLUB ON THE BEACH 5-STAR APT,2001930,Dmitri,,Hallandale Beach,25.98542,-80.11992,Entire home/apt,225,20,0,,,49,361,0,
2500771,"Charming Villa, Pool, Walk 2 Beach Fort Lauderdale",12705227,Rhona,,Fort Lauderdale,26.16192,-80.10211,Entire home/apt,180,2,86,8/16/2021,1.25,2,329,26,
2501510,Paradise in Pompano~Private Cabin 2 miles to Beach,10477721,Joanne And Louis,,Pompano Beach,26.23896,-80.11834,Entire home/apt,89,5,16,6/11/2021,0.2,1,315,6,
2509161,STUDIO 3 Blocks to BEACH w/POOL & free WiFi,899093,Sharone,,Hallandale Beach,25.98582,-80.12661,Entire home/apt,87,5,128,7/4/2021,1.49,6,166,11,
2540473,2080 LUXURY 3/2 OCEAN FRONT CONDO,2001930,Dmitri,,Hallandale Beach,25.97873,-80.12049,Entire home/apt,395,14,2,4/24/2014,0.02,49,361,0,
2553035,Pool house+close to beach+WiFi+BBQ,3426390,Giovanna,,Hollywood,26.01636,-80.14599,Entire home/apt,150,28,31,8/16/2021,0.44,2,72,7,
2553995,CHAPPY WATERFRONT RESORT HOUSE,13077136,James,,Pompano Beach,26.20995,-80.1268,Entire home/apt,309,3,5,8/19/2019,0.12,2,272,0,
2558604,One of a kind split level home with large pool,1463210,Belkis,,Plantation,26.11531,-80.23072,Entire home/apt,395,3,5,7/26/2021,0.06,1,331,3,
2559431,BIG 3 Bedroom 2.5  bath pool home,1459305,Belkis,,Plantation,26.11441,-80.22964,Entire home/apt,399,3,7,6/29/2021,0.08,2,332,3,
2585581,THIS IS YOUR SANCTUARY/ HEATED POOL,4087252,Arian,,Southwest Ranches,26.04032,-80.3955,Entire home/apt,519,2,109,8/22/2021,1.56,1,329,18,
2586608,White Sandy Beach & Superb location,11068214,Ronald,,Hollywood,25.98937,-80.11742,Entire home/apt,220,7,40,6/18/2021,0.46,6,67,3,
2600442,"COMFY 1bedrm apt , WIFI, POOL ,PARKING NEAR BEACH",899093,Sharone,,Hallandale Beach,25.99562,-80.13638,Entire home/apt,92,30,22,6/26/2021,0.39,6,83,4,
2601484,"Homey, Relaxing & Private Room",13127060,Eli,,Lauderhill,26.18014,-80.236,Private room,45,3,27,1/24/2016,0.34,1,337,0,
2615921,The Historic Joseph Young Mansion - heated pool.,119765273,Jack,,Hollywood,26.01285,-80.12824,Entire home/apt,734,4,38,3/14/2021,0.76,4,324,17,
2661579,1 Bedroom very nice Peaceful UV LIGHT Sanitized,11679207,Jorge,,Hollywood,26.01787,-80.15957,Entire home/apt,56,30,4,9/18/2021,0.05,4,286,2,
2700947,Beach Villa Oleander - Quiet & Cozy!,9443719,Ida Annika,,Lauderdale By The Sea,26.21864,-80.09542,Entire home/apt,796,7,0,,,9,365,0,
